"Motorola Solutions, Inc.",MSI,NYSE,5:1
National Grid PLC,NGG,NYSE,2:1
Nec Corporation,NEC1,FRANKFURT,1:3
"NETEASE, INC.",NTES,NASDAQ,14:1
"NETFLIX, INC.",NFLX,NASDAQ,16:1
Newmont Corporation,NEM,NYSE,1:1
Nike Inc.,NKE,NYSE,3:1
"Nissan Motor Co., LTD",NSAN,OTC US,1:1
Nokia Corporation,NOKA,NYSE,1:1
"Nomura Holdings, Inc",NMR,NYSE,1:1
NOVAGOLD RESOURCES INC.,NG,NYSE,1:4
Novartis AG,NVS,NYSE,2:1
NOVOLIPETSK STEEL PJSC,NLM,LONDON STOCK EXCHANGE,2:1
"NTT Docomo, Inc",DCMYY,NYSE,1:1
Nucor Corp,NUE,NYSE,2:1
NVIDIA CORPORATION,NVDA,NASDAQ,12:1
Oracle Corporation,ORCL,NYSE,3:1
ORANGE,ORAN,NYSE,1:1
Paccar Inc.,PCAR,NASDAQ,3:1
Panasonic Corporation,PCRF,OTC US,2:1
"PAYPAL HOLDINGS, INC.",PYPL,NASDAQ,4:1
Pearson PLC,PSO,NYSE,1:1
Pepsico Inc,PEP,NASDAQ,2:1
PETROBRAS (ADR),PBR,NYSE,1:1
Petrochina Co Ltd,PTR,NYSE,4:1
Pfizer Inc.,PFE,NYSE,2:1
Pitney Bowes Inc,PBI,NYSE,1:1
PJSC GAZPROM,OGZD,LONDON STOCK EXCHANGE,2:1
PJSC LUKOIL,LKOD,LONDON STOCK EXCHANGE,4:1
PJSC TATNEFT,ATAD,LONDON STOCK EXCHANGE,4:1
POSCO,PKS,NYSE,3:1
Procter & Gamble,PG,NYSE,5:1
Qualcomm Inc.,QCOM,NASDAQ,11:1
Rio Tinto PLC,RIO,NYSE,4:1
"ROSS STORES, INC.",ROST,NASDAQ,4:1
Royal Dutch Shell PLC,RDS,NYSE,2:1
"SALESFORCE.COM, INC.",CRM,NYSE,6:1
SAMSUNG ELECTRONICS CO. LTD.,SMSN,LONDON STOCK EXCHANGE,14:1
SAP SE,SAP,NYSE,3:1
Schlumberger Ltd,SLB,NYSE,3:1
Siemens AG ADR,SIEGY,OTC,3:1
SNAP INC.,SNAP,NYSE,1:1
Snap-On Inc,SNA,NYSE,2:1
Sony Corporation,SNE,NYSE,2:1
Southern Copper Corp,SCCO,NYSE,2:1
Starbucks Corporation,SBUX,NASDAQ,1:1
SUZANO PAPEL E CELULOSE S.A.,SUZ,NYSE,1:1
Sysco Corp.,SYY,NYSE,2:1
Taiwan Semiconductor Manufacturing,TSM,NYSE,1:3
TARGET CORPORATION,TGT,NYSE,4:1
TATA MOTORS LTD,TTM,NYSE,1:1
Telecom Italia S.P.A. Ordinary Shares,TI,NYSE,1:1
TELEFÔNICA BRASIL S.A.,VIV,NYSE,1:1
Telefonica S.A.,TEFO,NYSE,8:1
TENARIS,TEN,NYSE,1:1
TERNIUM S.A.,TXR,NYSE,2:1
"TESLA, INC.",TSLA,NASDAQ,15:1
Texas Instruments Inc,TXN,NASDAQ,5:1
THE BANK OF NEW YORK MELLON CORP.,BK,NYSE,2:1
"THE GOLDMAN SACHS GROUP, INC",GS,NYSE,13:1
THE HERSHEY COMPANY,HSY,NYSE,3:1
THE WALT DISNEY CO.,DISN,NYSE,4:1
THERMO FISHER SCIENTIFIC INC.,TMO,NYSE,11:1
TIM PARTICIPAÇÕES S.A.,TSU,NYSE,1:1
TOTAL S.A.,TOT,NYSE,3:1
Toyota Motor Corporation,TM,NYSE,5:1
Travelers Cos. Inc.,TRVV,NYSE,3:1
"TRIPADVISOR, INC.",TRIP,NASDAQ,2:1
"TWITTER, INC.",TWTR,NYSE,1:1
U.S. BANCORP,USB,NYSE,1:1
ULTRAPAR PARTICIPAÇÕES S.A.,UGP,NYSE,1:1
UNILEVER N.V.,UN,NYSE,3:1
United States Steel Corp.,X,NYSE,3:1
RAYTHEON TECHNOLOGIES CORP USD 0.01,RTX,NYSE,5:1
"URBAN OUTFITTERS, INC.",URBN,NASDAQ,2:1
Vale S.A.,VALE,NYSE,2:1
VEDANTA LIMITED,VEDL,NYSE,1:1
"VERISIGN, INC.",VRSN,-,6:1
Verizon Communications Inc.,VZ,NYSE,2:1
VISA INC,V,NYSE,6:1
VISTA OIL & GAS SAB DE CV (ADS),VIST,NYSE,1:5
Vodafone Group PLC,VOD,NASDAQ,1:1
WALMART Inc.,WMT,NYSE,3:1
WEIBO CORPORATION,WBO,NASDAQ,6:1
Wells Fargo & Co.,WFC,NYSE,5:1
Westpac Banking Corporation,WBK,NYSE,3:1
XEROX HOLDING CORPORATION,XROX,NYSE,1:1
Yamana Gold Inc.,AUY,NYSE,1:1
YANZHOU COAL MINING CO. LTD.,YZCA,OTC US,2:1
YELP INC.,YELP,NYSE,2:1
JOYY INC.,YY,NASDAQ,5:1
